id,firstName,lastName,major,email
1,Christopher,Condos,"Information Systemms",ccondos@mymail.edu
2,Scott,Keagan,"Business Administration",skeagan@mymail.edu
3,Leslie,Rowen,Accounting,lrowen@mymail.edu
4,Ashley,Johnson,"Health Care Management",ajohnson@mymail.edu
5,Sarah,Richardson,"Social Media Marketing",srichardson@mymail.edu
6,Michael,Rutherford,Economics,mrutherford@mymail.edu
7,Thomas,Hayden,Accounting,thayden@mymail.edu
8,Natalie,Joyce,"Hotel Management",njoyce@mymail.edu
9,Kim,Goldberg,Communications,kgoldberg@mymail.edu
10,Mark,Andrews,Marketing,mandrews@mymail.edu
